"filename", "language", "JSON", "Ruby", "Markdown", "erb", "JavaScript", "CSS", "YAML", "HTML", "Gemfile", "comment", "blank", "total"
"/home/donut/Projects/project1/db/migrate/20220727050932_add_comment_id_to_anecdotes.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/migrate/20220727052920_add_user_id_to_comments.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/migrate/20220727091309_remove_parent_id_from_comments.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/schema.rb", "Ruby", 0, 74, 0, 0, 0, 0, 0, 0, 0, 12, 14, 100
"/home/donut/Projects/project1/db/seeds.rb", "Ruby", 0, 130, 0, 0, 0, 0, 0, 0, 0, 10, 38, 178
"/home/donut/Projects/project1/package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/public/404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 1, 6, 68
"/home/donut/Projects/project1/public/422.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 1, 6, 68
"/home/donut/Projects/project1/public/500.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 60, 0, 1, 6, 67
"Total", "-", 5, 733, 13, 479, 36, 520, 17, 182, 26, 394, 476, 2881
